Codice;Dest.;Abbonamento;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Da Kg.;A Kg.;Quantita' lettere di vettura;Limite di peso compreso nelle lettere     di vettura oltre a E. a KG/FRAZIONE   ;Costo E. a KG/FRAZIONE  ;Costo E. lettera di vettura integrativa;Costo in % riconsegna;Costo E. prova di consegna;Costo E. giacenza a giorno;Costo E. dossier;Costo E. fermo deposito al giorno;Quantitativo massimo colli;Quantitativo peso in KG per volume al metro cubo ;Coefficiente indice calcolo peso volumetrico;Costo E. ritorno al mittente;Costo in E. ritiro porto assegnato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Quantita' Da Kg.;A Kg.      ;Costo E. range di peso indicato;Limite di peso compreso nei costi accessori oltre E. a KG/FRAZIONE;Costo E. a KG/frazione di KG;Costo E. supplemento cap disagiati;Costo E. resa contrassegno minimo;Massimale E. compreso nella tariffa minima;Costo in % da applicare sul valore dichiarato della merce;Indicativo misure colli Over da CM;Indicativo misure colli Over a CM;Costo E. colli Over;Costo E. supplemento a MT/frazione di MT colli Over;Indicativo misure bancali Over CM;Costo E. supplemento bancali Over;Costo in % assicurazione sul valore dichiarato;Valore E. assicurazione minimo;Valore E. massimo assicurabile;Importo in E. franchigia;
000003103;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000042803;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00007,13;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000158603;00;30;0003,100;0010,000;0001;0010,100;0020,000;0002;0020,100;0030,000;0003;0030,100;0040,000;0004;0040,100;0050,000;0005;0050,100;00000,90;00007,13;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0300,000;03333,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0003,000;00001,80;0003,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000184303;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00008,70;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000191103;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000202903;00;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00009,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000222803;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00000,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000233103;00;31;0010,100;0030,000;0001;0030,100;0050,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0050,100;00000,80;00008,35;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0010,000;00002,00;0010,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000249203;00;32;0020,100;0040,000;0001;0040,100;0060,000;0002;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00008,70;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0020,000;00002,20;0020,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
000249203;00;33;0030,100;0060,000;0001;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0000,000;0000,000;0000;0060,100;00000,80;00009,00;100;00008,00;00000,50;00003,50;00000,50;ILLIMITATO          ;0200,000;05000,00;COSTO DELLA SPEDIZIONE        ;02,87;0000,000;0030,000;00002,50;0030,100;0050,000;00003,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0000,000;0000,000;00000,00;0050,100;00000,20;00006,00;00008,50;00517,00;03,50;0301;0400;035,00;010,00;0340;012,00;01,50;00008,00;0010000,00;0000100,00;
