"Descrizione","CAP","Prov","SCS","Dis"
"ACCIANO","67020","AQ","","X"
"ACQUACALDA","98050","ME","","X"
"ACRI","87041","CS","","X"
"AFRICO","89030","RC","","X"
"AGEROLA","80051","NA","","X"
"AGRIGENTO (PROVINCIA)","92100","AG","X",""
"ALICUDI","98050","ME","","X"
"ALPE DI SIUSI","39040","BZ","","X"
"ANACAPRI","80071","NA","","X"
"APRICA","23031","SO","","X"
"ARSITA","64031","TE","","X"
"ASINARA CALA D'OLIVA","07042","SS","","X"
"BARANO D'ISCHIA","80070","NA","","X"
"BISENTI","64033","TE","","X"
"BOJANO","86021","CB","","X"
"BONDONE","38080","TN","","X"
"BORGIALLO","10080","TO","","X"
"BOSIO","15060","AL","","X"
"BOVINO","71023","FG","","X"
"BUGLIO IN MONTE","23010","SO","","X"
"BUGNARA","67030","AQ","","X"
"BURANO","30012","VE","","X"
"CABANNE","16040","GE","","X"
"CAGLIARI (PROVINCIA)","09100","CA","X",""
"CALASCIO","67020","AQ","","X"
"CALTANISSETTA (PROVINCIA)","93100","CL","X",""
"CAMPESE","36061","VI","","X"
"CAMPITELLO MATESE","86027","CB","","X"
"CAMPO NELL'ELBA","57034","LI","","X"
"CAMPOTOSTO","67013","AQ","","X"
"CANNETO","98055","ME","","X"
"CANSANO","67030","AQ","","X"
"CANTALUPO LIGURE","15060","AL","","X"
"CANZANO","64020","TE","","X"
"CAPODACQUA","06030","PG","","X"
"CAPOLIVERI","57031","LI","","X"
"CAPRAIA ISOLA","57032","LI","","X"
"CAPRI","80073","NA","","X"
"CARAPELLE CALVISIO","67020","AQ","","X"
"CARBONIA IGLESIAS (PROVINCIA)","09010","SI","X",""
"CARLOFORTE","09014","CA","","X"
"CARPANI","57037","LI","","X"
"CASACALENDA","86043","CB","","X"
"CASAGLIA","50034","FI","","X"
"CASAMICCIOLA TERME","80074","NA","","X"
"CASPOGGIO","23020","SO","","X"
"CASTEL CASTAGNA","64030","TE","","X"
"CASTEL DI IERI","67020","AQ","","X"
"CASTELLALTO","64020","TE","","X"
"CASTELNOVO NE' MONTI","42035","RE","","X"
"CASTELPAGANO","82024","BN","","X"
"CASTELVECCHIO CALVISIO","67020","AQ","","X"
"CATANIA (PROVINCIA)","95010","CT","X",""
"CATANIA (PROVINCIA)","95100","CT","X",""
"CATANZARO (PROVINCIA)","88020","CZ","X",""
"CAURIA","39040","BZ","","X"
"CAVO","57030","LI","","X"
"CAVOLI","57030","LI","","X"
"CERMIGNANO","64037","TE","","X"
"CERQUETO DEL TRONTO","64010","TE","","X"
"CEVO","23011","SO","","X"
"CHIAREGGIO","23023","SO","","X"
"CHIESA IN VALMALENCO","23023","SO","","X"
"CIMA PAGANELLA","38010","TN","","X"
"CIRELLA","87020","CS","","X"
"CIVIASCO","13010","VC","","X"
"CIVITELLA CASANOVA","65010","PE","","X"
"COLFERRAIO","62024","MC","","X"
"COLLEDARA","64042","TE","","X"
"CORVARA","39033","BZ","","X"
"COSENZA (PROVINCIA)","87100","CS","X",""
"COSTALUNGA","38039","TN","","X"
"CROCE FERRATA","89043","RC","","X"
"CRODO","28862","VB","","X"
"CROGNALETO","64043","TE","","X"
"CROTONE (PROVINCIA)","88811","KR","X",""
"DELIANUOVA","89012","RC","","X"
"DOGANA","23029","SO","","X"
"ENNA (PROVINCIA)","94010","EN","X",""
"ETROUBLES","11014","AO","","X"
"PAGNANO ALTO","67020","AQ","","X"
"FAVIGNANA","91023","TP","","X"
"FILICUDI","98050","ME","","X"
"FIUMATA","02025","RI","","X"
"FOGNANO","48013","RA","","X"
"FONTANEFREDDE","39040","BZ","","X"
"FONTANELICE","40025","BO","","X"
"FONTE DI BRESCIA","62025","MC","","X"
"FONTECCHIO","67020","AQ","","X"
"FORIO","80075","NA","","X"
"FUTANI","84050","SA","","X"
"GAGLIANO ATERNO","67020","AQ","","X"
"GAMBERALE","66040","CH","","X"
"GIANNUTRI","58019","GR","","X"
"GINOSTRA","98050","ME","","X"
"GIUDECCA","30133","VE","","X"
"GIULIOPOLI","66040","CH","","X"
"GOMAGOI","39029","BZ","","X"
"GORGONA ISOLA","57128","LI","","X"
"ISCHIA","80077","NA","","X"
"ISOLA","43025","PR","","X"
"ISOLA DEL GIGLIO","58012","GR","","X"
"ISOLA DI ALBARELLA","45010","RO","","X"
"ISOLA DI CAPRERA","07024","OT","","X"
"ISOLA DI PALANZANO","43025","PR","","X"
"ISOLA FOSSARA","06027","PG","","X"
"ISOLA MAGGIORE","06069","PG","","X"
"ISOLA PALMARIA","19025","SP","","X"
"ISOLA SAN SERVOLO","30124","VE","","X"
"ISOLA SANT'ANTONIO","15050","AL","","X"
"ISOLE TREMITI","71040","FG","","X"
"KAMMA","91017","TP","","X"
"LA MADDALENA","07024","OT","","X"
"LA PILA","57034","LI","","X"
"LACCO AMENO","80076","NA","","X"
"LAMPEDUSA","92010","AG","","X"
"LANZADA","23020","SO","","X"
"LAUREGNO","39040","BZ","","X"
"LENI","98050","ME","","X"
"LENOLA","04025","LT","","X"
"LOEOFARA","64010","TE","","X"
"LEVANZO","91023","TP","","X"
"LINGUA","98050","ME","","X"
"LINOSA","92010","AG","","X"
"LIPARI","98055","ME","","X"
"LIVIGNO","23020","SO","","X"
"LOCANA","10080","TO","","X"
"LUTIRANO","50034","FI","","X"
"MAGAZZINI","57037","LI","","X"
"MALAMOCCO","30126","VE","","X"
"MALFA","98050","ME","","X"
"MARCIANA  ","57030","LI","","X"
"MARCIANA MARINA","57033","LI","","X"
"MARETA","39040","BZ","","X"
"MARETTIMO","91010","TP","","X"
"MARINA DI CAMPO","57034","LI","","X"
